sID	High_Strength_Component	Target	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
45	Terminal	West	observed_first	8	6	6	Cloud making what happened at east intermediate station unclear.	Clouds making what happened at both intermediate stations unclear.	1	19	1	-99	660
60	Terminal	West	observed_first	9	6	3	Western castle made it through the barons so they will most likely make it to the palace too. I cant see east, but there's a 90% chance they were attacked.	Both are equally possible as I cant see enough information to tell.	1	28	1	-99	449
71	Terminal	West	observed_first	10	6	2	The pony rider made it through the danger zone to the intermediate station and the subsequent rider had a 90% chance of reaching the palace safely. It's not possible to see what happened to the Eastern Castle's rider due to cloud.	Both castles sent out the initial pony rider but it's not possible to see which one made it through to the intermediate station due to cloud. So it's 50/50 chance that it could be the Western Castle.	1	58	2	-99	1016
77	Terminal	West	observed_first	9	6	3	A pony was sent out from the station, whereas we cannot see what happened from the eastern castle.	Can't see what happened to either pony rider.	1	27	2	-99	694
89	Terminal	West	observed_first	9	6	2	The rider in the west reached the castle and on the east, a cloud is obstructing the view so I cannot be certain they did or didnt reach the intermediate but most likely they didnt	with two clouds covering the views it is just as likely the the alarm occurred from west or east	1	29	2	-99	602
93	Terminal	West	observed_first	11	6	1	There was a cloud obstructing the other path	both paths have the same events happening to them, therefore its a 50:50 chance	1	21	2	-99	1020
130	Terminal	West	observed_first	6	6	2	no proof that the eastern pony rider did not reach the destination	no proof that either pony rider did/did not reach the station - cloud obscuring both views	1	37	2	-99	591
138	Terminal	West	observed_first	9	6	6	I believe that there is a greater likelihood that the the alarm was caused by Western Castle because pony rider reached its intermediate destination. The cloud is obstructing the view of the pony rider from the Eastern castle. Therefore, I am not sure if the pony rider made it or not.	The clouds are obstructing the view on both sides. Therefore, I cannot determine if either pony riders made it to the intermediate destination.	1	25	2	-99	1022
149	Terminal	West	observed_first	8	6	5	A cloud is obscuring the eastern castles path so I can not be certain if they got through but the western path is clear	Both paths are obscured by a cloud	1	63	2	-99	1207
163	Terminal	West	observed_first	10	6	2	The eastern rider has only a 1 in 10 shot of getting through	Both riders have an equal shot of getting through	1	21	2	-99	483
172	Terminal	West	observed_first	8	6	2	The pony rider went through the high danger area and made it to the other pony station so from here the chance of the rider making it all the way would be very high.	I can't see if both riders sent out made it to the other pony stations because on this day a object made it unclear	1	18	1	-99	936
185	Terminal	West	observed_first	8	6	3	Since I can't see if the Eastern castle was successful or not I am leaning more towards the Western castle	Since I can't see either castle I will say there is an equal chance it could be either of them	1	33	1	-99	541
186	Terminal	West	observed_first	6	6	6	based on the average I would say 50 50	based on the averages	1	41	1	-99	1096
188	Terminal	West	observed_first	10	6	2	I am certain that the Western message got through, however, there is still a small (9%?) chance that the Eastern rider got through too	Equal chance for each	1	26	1	-99	688
220	Terminal	West	observed_first	10	6	2	there is a 90% chance the pony dispatched from the western side made it to the castle. there is also a chance a pony made it to the castle from the eastern side first, we just don't know.	both pathways have equal probabilities.	1	40	2	none	792
221	Terminal	West	observed_first	6	6	6	The rider from the Western castle made it to the intermediate station for sure (10% chance), and we know they then had a 90% chance of making it to the Kings Palace. However, the rider from the Eastern Castle had a 10% chance of making it to the intermediate station, and again had a futher 90% chance of making it the entire way. Regardless on if we know who made it to the intermediate station, we know they both had the exact same odds.	Both castles have the exact same odds of making it to the intermediate station and the Kings Palace, it is completely 50/50	1	23	2	-99	1210
222	Terminal	West	observed_first	10	6	2	The western intermediary station sent out a pony where as I am unable to tell if the eastern intermediary station received the initial message	Both intermediary stations are cloudy and therefore I do not know if either received the initial message from the castles so it is a 50:50	1	18	1	-99	655
227	Terminal	West	observed_first	6	6	8	Cloud obscuring the other rider so cant tell for sure which rider triggered the alarm	No way of knowing who triggered the alarm as clouds over both riders	1	48	2	-99	1192
13	Terminal	West	unobserved_first	9	6	2	Unsure 100% as cloud obstructing eastern view	Unable to see as cloud obstructing view	1	22	2	-99	618
47	Terminal	West	unobserved_first	9	6	2	We can see the pony rider reached the intermediate station and so there is then a 9/10 chance they reached the kings palace.	both pony riders have been sent to intermediate stations but both clouds are blocking the view	1	26	2	n/a	911
55	Terminal	West	unobserved_first	10	6	2	Can see that a pony rider was sent out and call received at the second pony call destination and the alarm sounded, however, cannot be certain for the east castle because of the cloud	Both castles sent out pony riders, however the clouds show us that we cannot get a clear view of what happened	1	26	2	-99	790
58	Terminal	West	unobserved_first	10	3	3	The message would have reached the castle	The message wouldn’t have reached because of the cloud	1	28	1	None	1105
68	Terminal	West	unobserved_first	9	6	10	We know for sure that the intermediate castle on the Western side sent out a fresh pony, and that the pony has a 90% chance of reaching the King's Palace. I don't know for sure though, because the Eastern path is obstructed.	Because both paths are obstructed, and the alarm went off, each castle is equally likely to have experienced an emergency.	1	25	1	N/A	685
95	Terminal	West	unobserved_first	9	6	2	We cant see if the signal made it to the pony station at the east castle to but we know that it made it to the pony station from the west castle	Clouds are obstructing the views of both pathways so either castle or both could've sent out the alarm	1	21	2	-99	1555
104	Terminal	West	unobserved_first	1	6	2	The message has been sent from the eastern castle, the pony riders have gone to the intermediate point and new pony riders have been dispatched to the kings castle	Both castles have sent messages for emergency assistance	1	34	2	-99	637
120	Terminal	West	unobserved_first	9	6	5	The western castle managed to send out a rider to the intermediary station which then successfully sent the message to the kings castle. Whereas it is unclear whether the first rider from the eastern castle made it to the intermediary station to the send on the message to the kings castle. Therefore it is more likely to have been the western castle that set the alarm in the kings palace, however there is still a small chance that it could have been the eastern castle	Due to not being able to see if either intermediary station has received the message from the initial pony rider, it cannot be confirmed which castle the emergency alarm has come from. Therefore it is a 50:50 chance.	1	24	2	-99	1195
131	Terminal	West	unobserved_first	11	11	2	a rider has been sent out from west castle	a rider has been sent out from west castle	1	50	1	-99	1227
142	Terminal	West	unobserved_first	11	11	2	The western rider reached the station and they had sent out another rider.	The crossed swords icon is not as bright as the eastern route, which looks like it would have been dangerous.	1	23	1	-99	635
153	Terminal	West	unobserved_first	5	6	10	I can see that both castles sent out a pony, however my view for th western castle intermediary stop is obscured by a cloud. Based on what I can actually see, I will say the eastern castle has a higher chance	The both sent out a pony	1	29	2	-99	832
155	Terminal	West	unobserved_first	10	6	2	The probability the West rider reached the castle is 90%. The probability the other one reached the castle is only 9%	I can't see either of the intermediate stations.	1	31	2	-99	658
166	Terminal	West	unobserved_first	11	6	6	Looks like it was the Western Castle because of the pony riders	Not sure because of the clouds	1	26	2	None	1483
184	Terminal	West	unobserved_first	10	6	2	I know that they made it to the intermediate point which has a low likelihood, so the right side likely did not.	Both sides are the same and there is no reason to prefer one side.	1	27	1	-99	842
187	Terminal	West	unobserved_first	6	6	6	The western castle had sent out a pony rider who reached his destination. However we aren’t told what happens to the pony rider from the other castle	It was cloudy and cannot see if the rider made it to the main castle	1	22	2	-99	779
196	Terminal	West	unobserved_first	9	6	4	There is no cloud obstructing the view.	Both have cloud obstructions, equal probability of reaching the pony station and equal probability of reaching the palace.	1	29	2	-99	905
197	Terminal	West	unobserved_first	8	6	2	I can see that the pony was sent from the intermediate station yet eastern is unclear	Both are covered by cloud so I don’t know	1	33	2	-99	674
218	Terminal	West	unobserved_first	9	6	2	We can see the western side was able to get ponies out and those had a 10% chance to make it to the castle. On the eastern side a cloud is blocking view. It isnt guaranteed the western side caused the alarm but it is highly probable.	based on the information above it is probable it could be either side. Western or Eastern.	1	31	1	-99	1350
223	Terminal	West	unobserved_first	8	6	2	There is a good chance it was the western castle because there is a cloud obstructing on the eastern path.	All the percentages are the same, so it was a 50/50 chance.	1	32	1	No issues	1233
226	Terminal	West	unobserved_first	9	6	6	There is cloud in the East, but the pony reached the western intermediate station	Unable to tell if the ponies reached the intermediate stations due to cloud	1	30	2	No technical issues	869
